source,target,weight
mike rodriguez,lawrence leathers,1
adam birnbaum,paul sikivie,1
adam birnbaum,lawrence leathers,1
paul sikivie,lawrence leathers,1
lucas pino,mike rodriguez,1
lucas pino,alex wintz,1
lucas pino,mark whitfield,1
lucas pino,alex lore,1
lucas pino,nick finzer,1
lucas pino,andrew gutauskas,1
lucas pino,adam birnbaum,1
mike rodriguez,alex wintz,1
mike rodriguez,mark whitfield,1
mike rodriguez,alex lore,1
mike rodriguez,nick finzer,1
mike rodriguez,andrew gutauskas,1
alex wintz,mark whitfield,1
alex wintz,alex lore,1
alex wintz,nick finzer,1
alex wintz,andrew gutauskas,1
alex wintz,adam birnbaum,1
mark whitfield,alex lore,1
mark whitfield,nick finzer,1
mark whitfield,andrew gutauskas,1
mark whitfield,adam birnbaum,1
alex lore,nick finzer,1
alex lore,andrew gutauskas,1
alex lore,adam birnbaum,1
nick finzer,andrew gutauskas,1
nick finzer,adam birnbaum,1
andrew gutauskas,adam birnbaum,1
matt pavolka,mike rodriguez,1
matt pavolka,loren stillman,1
matt pavolka,jacob garchik,1
matt pavolka,mark ferber,1
mike rodriguez,loren stillman,1
mike rodriguez,jacob garchik,1
mike rodriguez,mark ferber,1
loren stillman,jacob garchik,1
loren stillman,mark ferber,1
jacob garchik,mark ferber,1
mike rodriguez,chris cheek,1
mike rodriguez,robert rodriguez,1
mike rodriguez,kiyoshi kitagawa,1
mike rodriguez,ej strickland,1
chris cheek,robert rodriguez,1
chris cheek,kiyoshi kitagawa,1
chris cheek,ej strickland,1
robert rodriguez,kiyoshi kitagawa,1
robert rodriguez,ej strickland,1
kiyoshi kitagawa,ej strickland,1
brian charette,pablo menares,3
brian charette,jochen rueckert,6
pablo menares,jochen rueckert,3
adam larson,can olgun,2
adam larson,matt clohesy,1
adam larson,jochen rueckert,2
can olgun,matt clohesy,1
can olgun,jochen rueckert,2
matt clohesy,jochen rueckert,1
nate radley,john ellis,1
nate radley,gary wang,1
nate radley,gary versace,1
nate radley,jochen rueckert,1
john ellis,gary wang,1
john ellis,jochen rueckert,3
gary wang,gary versace,1
gary wang,jochen rueckert,1
gary versace,jochen rueckert,2
brian charette,john ellis,1
pablo menares,john ellis,1
brian charette,joe martin,1
brian charette,mike dirubbo,3
jochen rueckert,mike dirubbo,3
joe martin,mike dirubbo,1
anne mette,john ellis,1
anne mette,ryan keberle,1
anne mette,gary versace,1
anne mette,jochen rueckert,1
john ellis,ryan keberle,1
ryan keberle,gary versace,1
ryan keberle,jochen rueckert,1
adam larson,matt penman,1
can olgun,matt penman,1
matt penman,jochen rueckert,3
brian charette,orlando le,2
mike dirubbo,orlando le,2
jochen rueckert,gilad hekselman,2
mark turner,matt penman,2
matt penman,gilad hekselman,2
george colligan,jochen rueckert,2
george colligan,jimmy greene,2
george colligan,jon irabagon,2
george colligan,linda oh,2
jochen rueckert,jimmy greene,2
jochen rueckert,jon irabagon,2
jochen rueckert,linda oh,2
jimmy greene,jon irabagon,2
jimmy greene,linda oh,2
jon irabagon,linda oh,2
jochen rueckert,lage lund,2
mark turner,orlando le,2
orlando le,lage lund,2
john ellis,joe martin,2
john ellis,rudy royston,2
kevin hays,rudy royston,2
joe martin,rudy royston,2
joe martin,nasheet waits,1
mark turner,nasheet waits,1
kevin hays,nasheet waits,1
john chin,ron blake,1
john chin,joe martin,2
john chin,jaimeo brown,1
stacy dillard,ron blake,1
stacy dillard,joe martin,1
stacy dillard,jaimeo brown,1
ron blake,joe martin,1
ron blake,jaimeo brown,1
joe martin,jaimeo brown,1
rob garcia,noah preminger,2
rob garcia,gary versace,1
rob garcia,joe martin,2
noah preminger,gary versace,1
noah preminger,joe martin,2
gary versace,joe martin,1
tom guarna,eden ladin,1
tom guarna,joe martin,1
tom guarna,kush abadey,1
eden ladin,joe martin,1
eden ladin,kush abadey,1
rob garcia,john chin,1
noah preminger,john chin,1
pierre christophe,joel frahm,1
pierre christophe,joe martin,1
joel frahm,joe martin,1
ari hoenig,joe martin,1
gilad hekselman,joe martin,1
joe martin,dayna stephens,2
dayna stephens,kevin hays,2
kevin hays,jochen rueckert,2
simona premazzi,jochen rueckert,1
