source,target,weight
tivon pennicott,will vinson,3
tivon pennicott,eden bareket,3
tivon pennicott,tim gallagher,2
tivon pennicott,ryan keberle,2
ari hoenig,shai maestro,3
shai maestro,darren barrett,1
shai maestro,noam wiesenberg,1
shai maestro,tivon pennicott,2
shai maestro,eden bareket,1
shai maestro,tim gallagher,1
shai maestro,ryan keberle,1
adam larson,ryan keberle,1
adam larson,glenn zaleski,1
kevin hays,mike moreno,4
kevin hays,rick rosato,2
kevin hays,clarence penn,2
jochen rueckert,mark turner,6
jochen rueckert,mike moreno,3
jochen rueckert,joe martin,6
mark turner,mike moreno,2
mark turner,joe martin,4
mike moreno,joe martin,2
randy ingram,mike moreno,3
randy ingram,orlando le,1
randy ingram,jochen rueckert,1
mike moreno,orlando le,1
orlando le,jochen rueckert,5
jure pukl,mike moreno,1
jure pukl,marko crncec,1
jure pukl,rick rosato,2
jure pukl,justin brown,2
mike moreno,marko crncec,1
mike moreno,justin brown,1
marko crncec,rick rosato,1
marko crncec,justin brown,1
rick rosato,justin brown,1
ari hoenig,or bareket,1
ari hoenig,nitai hershkovits,1
ari hoenig,mike moreno,1
or bareket,nitai hershkovits,1
or bareket,mike moreno,1
nitai hershkovits,mike moreno,1
randy ingram,matt clohesy,2
randy ingram,ferenc nemeth,2
mike moreno,matt clohesy,4
mike moreno,ferenc nemeth,2
matt clohesy,ferenc nemeth,2
mike moreno,shai maestro,2
shai maestro,kendrick scott,2
logan richardson,sam harris,2
logan richardson,mike moreno,1
logan richardson,harish raghavan,3
logan richardson,tommy crane,1
sam harris,mike moreno,1
sam harris,harish raghavan,1
sam harris,tommy crane,1
mike moreno,harish raghavan,1
mike moreno,tommy crane,1
harish raghavan,tommy crane,1
john ellis,mike moreno,2
john ellis,kevin hays,4
john ellis,matt clohesy,2
john ellis,kendrick scott,2
kevin hays,matt clohesy,2
kevin hays,kendrick scott,2
matt clohesy,kendrick scott,2
scott feiner,mike moreno,1
scott feiner,sam yahel,1
mike moreno,sam yahel,1
ari hoenig,gilad hekselman,2
ari hoenig,rick rosato,3
kyle nasser,greg ward,1
kyle nasser,jeff miles,1
kyle nasser,dov manski,1
kyle nasser,rick rosato,1
kyle nasser,allan mednard,1
greg ward,jeff miles,1
greg ward,dov manski,1
greg ward,rick rosato,1
greg ward,allan mednard,1
jeff miles,dov manski,1
jeff miles,rick rosato,1
jeff miles,allan mednard,1
dov manski,rick rosato,1
dov manski,allan mednard,1
rick rosato,allan mednard,1
itamar borochov,rob clearfield,1
itamar borochov,rick rosato,1
itamar borochov,jay sawyer,1
rob clearfield,rick rosato,1
rob clearfield,jay sawyer,1
rick rosato,jay sawyer,1
gilad hekselman,mark turner,3
gilad hekselman,jonathan pinson,5
mark turner,rick rosato,1
mark turner,jonathan pinson,1
rick rosato,jonathan pinson,5
glenn zaleski,colin stranahan,1
glenn zaleski,rick rosato,2
colin stranahan,rick rosato,1
tivon pennicott,rick rosato,1
roxy coss,miki yamanaka,2
roxy coss,alex wintz,2
roxy coss,rick rosato,2
roxy coss,jimmy macbride,2
miki yamanaka,alex wintz,2
miki yamanaka,rick rosato,2
miki yamanaka,jimmy macbride,2
alex wintz,rick rosato,2
alex wintz,jimmy macbride,2
rick rosato,jimmy macbride,2
rick rosato,dayna stephens,1
rick rosato,sam harris,1
rick rosato,bill stewart,1
dayna stephens,sam harris,1
dayna stephens,bill stewart,1
sam harris,bill stewart,1
jure pukl,luis perdomo,1
jure pukl,kush abadey,1
luis perdomo,rick rosato,1
luis perdomo,kush abadey,1
rick rosato,kush abadey,1
rafal sarnecki,lucas pino,1
rafal sarnecki,bogna kicinska,1
rafal sarnecki,glenn zaleski,1
rafal sarnecki,rick rosato,1
rafal sarnecki,jerad lippi,1
lucas pino,bogna kicinska,1
lucas pino,glenn zaleski,1
lucas pino,rick rosato,1
lucas pino,jerad lippi,1
bogna kicinska,glenn zaleski,1
